Gene ID,TOOL,PRODUCT
protein_cluster_6009,HAMAP,Chromosome initiation inhibitor
protein_cluster_601,PFAM,peptidase T2 asparaginase 2
protein_cluster_6010,,hypothetical protein
protein_cluster_6011,PFAM,high-affinity nickel-transporter
protein_cluster_6012,PFAM,P22 tailspike protein head-binding protein
protein_cluster_6013,PFAM,regulatory CII family protein
protein_cluster_6014,TIGR,"cytochrome d ubiquinol oxidase, subunit II"
protein_cluster_6015,,hypothetical protein
protein_cluster_6016,,hypothetical protein
protein_cluster_6017,PFAM,phosphoesterase PA-phosphatase related protein
protein_cluster_6018,PFAM,sodium:alanine symporter
protein_cluster_6019,PFAM,NADH/Ubiquinone/plastoquinone (complex I)
protein_cluster_602,,hypothetical protein
protein_cluster_6020,TIGR,"PTS system, cellobiose-specific IIC subunit"
protein_cluster_6021,PFAM,Conserved hypothetical protein CHP00022
protein_cluster_6022,TIGR,"CRISPR-associated protein, Cse1 family"
protein_cluster_6023,,hypothetical protein
protein_cluster_6024,,hypothetical protein
protein_cluster_6025,HAMAP,Peptide chain release factor 1
protein_cluster_6026,,hypothetical protein
protein_cluster_6027,HAMAP,UPF0341 protein yhiQ
protein_cluster_6028,,hypothetical protein
protein_cluster_6029,PFAM,dihydroorotate oxidase
protein_cluster_603,PFAM,DNA single-strand annealing protein RecT-like protein
protein_cluster_6030,PFAM,Ethanolamine ammonia lyase large subunit
protein_cluster_6031,PFAM,fimbrial biogenesis outer membrane usher protein
protein_cluster_6032,PFAM,Replication endonuclease
protein_cluster_6033,PFAM,glycoside hydrolase family 2 TIM barrel
protein_cluster_6034,TIGR,"acetyl-CoA carboxylase, biotin carboxyl carrier protein"
protein_cluster_6035,,hypothetical protein
protein_cluster_6036,HAMAP,ATP synthase subunit a
protein_cluster_6037,PFAM,transposase IS3/IS911 family protein
protein_cluster_6038,TIGR,pyruvate formate-lyase
protein_cluster_6039,TIGR,protein-export membrane protein SecD
protein_cluster_604,HAMAP,Membrane protein oxaA
protein_cluster_6040,PFAM,protein of unknown function DUF340 membrane
protein_cluster_6041,,hypothetical protein
protein_cluster_6042,PFAM,regulatory protein MarR
protein_cluster_6043,,hypothetical protein
protein_cluster_6044,PFAM,regulatory protein DeoR
protein_cluster_6045,PFAM,ErfK/YbiS/YcfS/YnhG family protein
protein_cluster_6046,,hypothetical protein
protein_cluster_6047,PFAM,regulatory protein LuxR
protein_cluster_6048,TIGR,"NADH-quinone oxidoreductase, F subunit"
protein_cluster_6049,PFAM,ribosomal protein L4/L1e
protein_cluster_605,PFAM,Biofilm-dependent modulation protein Bdm
protein_cluster_6050,PFAM,Ethanolamine utilization protein EutN/carboxysome structural protein Ccml
protein_cluster_6051,,hypothetical protein
protein_cluster_6052,TIGR,iron-sulfur cluster binding protein
protein_cluster_6053,PFAM,ferric-uptake regulator
protein_cluster_6054,HAMAP,UPF0482 protein ynfB
protein_cluster_6055,HAMAP,Ribosomal RNA small subunit methyltransferase F
protein_cluster_6056,PFAM,metallophosphoesterase
protein_cluster_6057,PFAM,Abortive phage infection protein
protein_cluster_6058,PFAM,flavodoxin/nitric oxide synthase
protein_cluster_6059,PFAM,Type IV conjugative transfer system protein TrbE
protein_cluster_606,PFAM,Excinuclease ABC C subunit domain protein
protein_cluster_6060,HAMAP,Ribonuclease PH
protein_cluster_6061,,hypothetical protein
protein_cluster_6062,PFAM,iron-containing alcohol dehydrogenase
protein_cluster_6063,TIGR,"alpha,alpha-trehalose-phosphate synthase [UDP-forming]"
protein_cluster_6064,TIGR,"DNA polymerase III, subunits gamma and tau"
protein_cluster_6065,HAMAP, L-ascorbate-6-phosphate lactonase ulaG
protein_cluster_6066,,hypothetical protein
protein_cluster_6067,PFAM,Mu-like prophage FluMu protein gp41
protein_cluster_6068,TIGR,hypoxanthine phosphoribosyltransferase
protein_cluster_6069,,hypothetical protein
protein_cluster_607,PFAM,head morphogenesis protein SPP1 gp7
protein_cluster_6070,PFAM,AMP-dependent synthetase and ligase
protein_cluster_6071,PFAM,major facilitator superfamily MFS_1
protein_cluster_6072,PFAM,putative protein family YeiS
protein_cluster_6073,,hypothetical protein
protein_cluster_6074,PFAM,sodium:dicarboxylate symporter
protein_cluster_6075,TIGR,type-F conjugative transfer system secretin TraK
protein_cluster_6076,,hypothetical protein
protein_cluster_6077,HAMAP,Adenosine deaminase
protein_cluster_6078,PFAM,TonB-dependent receptor
protein_cluster_6079,PFAM,protein of unknown function DUF1471
protein_cluster_608,,hypothetical protein
protein_cluster_6080,PFAM,C4-dicarboxylate anaerobic carrier-like protein
protein_cluster_6081,PFAM,cytochrome c assembly protein
protein_cluster_6082,PFAM,protein of unknown function DUF903
protein_cluster_6083,PFAM,"ABC-type transporter, integral membrane subunit"
protein_cluster_6084,PFAM,PipA family protein
protein_cluster_6085,PFAM,phosphotransferase system lactose/cellobiose-specific IIB subunit
protein_cluster_6086,PFAM,phosphotransferase system EIIC
protein_cluster_6087,HAMAP,HTH-type transcriptional repressor purR
protein_cluster_6088,,hypothetical protein
protein_cluster_6089,,hypothetical protein
protein_cluster_609,PFAM,P2 GpU family protein
protein_cluster_6090,PFAM,protein of unknown function DUF1379
protein_cluster_6091,PFAM,TrbM family protein
protein_cluster_6092,PFAM,protein of unknown function DUF1161
protein_cluster_6093,PFAM,YagBYeeUYfjZ family protein
protein_cluster_6094,TIGR,phage tail assembly protein T
protein_cluster_6095,,hypothetical protein
protein_cluster_6096,,hypothetical protein
protein_cluster_6097,PFAM,histidine kinase dimerization and phosphoacceptor region
protein_cluster_6098,,hypothetical protein
protein_cluster_6099,PFAM,regulatory protein MarR
protein_cluster_61,HAMAP,Cytoskeleton protein rodZ
protein_cluster_610,HAMAP,UPF0267 protein yqfB
protein_cluster_6100,PFAM,peptidase M14 carboxypeptidase A
protein_cluster_6101,,hypothetical protein
protein_cluster_6102,,hypothetical protein
protein_cluster_6103,PFAM,regulatory protein TetR
protein_cluster_6104,PFAM,"Nucleoside-specific channel-forming protein, Tsx-like protein"
protein_cluster_6105,HAMAP,Glucans biosynthesis protein C
protein_cluster_6106,PFAM,CreA family protein
protein_cluster_6107,HAMAP,ATP-dependent protease hslV
protein_cluster_6108,,hypothetical protein
protein_cluster_6109,,hypothetical protein
protein_cluster_611,TIGR,3-oxoacyl-[acyl-carrier-protein] synthase 2
protein_cluster_6110,PFAM,peptidase S11 D-alanyl-D-alanine carboxypeptidase 1
protein_cluster_6111,,hypothetical protein
protein_cluster_6112,,hypothetical protein
protein_cluster_6113,,hypothetical protein
protein_cluster_6114,HAMAP,L-rhamnose mutarotase
protein_cluster_6115,TIGR,flagellar protein export ATPase FliI
protein_cluster_6116,PFAM,plasmid SOS inhibition protein
protein_cluster_6117,,hypothetical protein
protein_cluster_6118,,hypothetical protein
protein_cluster_6119,PFAM,tail assembly chaperone gp38
protein_cluster_612,PFAM,cytochrome C biogenesis protein
protein_cluster_6120,TIGR,"formate dehydrogenase, alpha subunit"
protein_cluster_6121,TIGR,"dTDP-4-dehydrorhamnose 3,5-epimerase"
protein_cluster_6122,,hypothetical protein
protein_cluster_6123,,hypothetical protein
protein_cluster_6124,PFAM,Tir chaperone family protein
protein_cluster_6125,PFAM,tail assembly chaperone gp38
protein_cluster_6126,TIGR,tryptophanyl-tRNA synthetase
protein_cluster_6127,PFAM,protein of unknown function DUF991
protein_cluster_6128,PFAM,ImpA domain protein
protein_cluster_6129,PFAM,alanine racemase domain protein
protein_cluster_613,PFAM,"Helix-turn-helix, AraC domain-containing protein"
protein_cluster_6130,,hypothetical protein
protein_cluster_6131,,hypothetical protein
protein_cluster_6132,HAMAP,N-acetylmannosamine-6-phosphate 2-epimerase
protein_cluster_6133,,hypothetical protein
protein_cluster_6134,PFAM,regulatory protein DeoR
protein_cluster_6135,,hypothetical protein
protein_cluster_6136,PFAM,Conserved hypothetical protein CHP02688
protein_cluster_6137,,hypothetical protein
protein_cluster_6138,HAMAP,Fe/S biogenesis protein nfuA
protein_cluster_6139,PFAM,General substrate transporter
protein_cluster_614,,hypothetical protein
protein_cluster_6140,HAMAP,Acetylornithine/succinyldiaminopimelate aminotransferase
protein_cluster_6141,HAMAP,Isocitrate dehydrogenase kinase/phosphatase
protein_cluster_6142,,hypothetical protein
protein_cluster_6143,PFAM,Oligogalacturonate-specific porin
protein_cluster_6144,PFAM,thioesterase superfamily protein
protein_cluster_6145,HAMAP,Adenine phosphoribosyltransferase
protein_cluster_6146,,hypothetical protein
protein_cluster_6147,TIGR,type IV conjugative transfer system pilin TraA
protein_cluster_6148,PFAM,protein of unknown function DUF1471
protein_cluster_6149,,hypothetical protein
protein_cluster_615,TIGR,uridylate kinase
protein_cluster_6150,,hypothetical protein
protein_cluster_6151,HAMAP,Methylated-DNA--protein-cysteine methyltransferase
protein_cluster_6152,TIGR,2-hydroxy-3-oxopropionate reductase
protein_cluster_6153,,hypothetical protein
protein_cluster_6154,TIGR,molybdenum cofactor biosynthesis protein B
protein_cluster_6155,HAMAP,Multidrug resistance protein mdtK
protein_cluster_6156,,hypothetical protein
protein_cluster_6157,PFAM,alkyl hydroperoxide reductase/ Thiol specific antioxidant/ Mal allergen
protein_cluster_6158,,hypothetical protein
protein_cluster_6159,TIGR,acetylglutamate kinase
protein_cluster_616,PFAM,"ABC-type transporter, integral membrane subunit"
protein_cluster_6160,,hypothetical protein
protein_cluster_6161,TIGR,ribonuclease R
protein_cluster_6162,TIGR,"type VI secretion lipoprotein, VC_A0113 family"
protein_cluster_6163,PFAM,protein of unknown function DUF307
protein_cluster_6164,TIGR,"2,3-dihydroxybenzoate-AMP ligase"
protein_cluster_6165,,hypothetical protein
protein_cluster_6166,,hypothetical protein
protein_cluster_6167,,hypothetical protein
protein_cluster_6168,PFAM,DSBA oxidoreductase
protein_cluster_6169,TIGR,mercuric transport protein periplasmic component
protein_cluster_617,PFAM,CP79-related protein
protein_cluster_6170,PFAM,Polyprenyl synthetase
protein_cluster_6171,TIGR,flagellar biosynthetic protein FliP
protein_cluster_6172,TIGR,lactoylglutathione lyase
protein_cluster_6173,PFAM,Fimbrial major/minor subunit
protein_cluster_6174,PFAM,RelB antitoxin
protein_cluster_6175,,hypothetical protein
protein_cluster_6176,TIGR,ATP-dependent DNA helicase RecQ
protein_cluster_6177,PFAM,aminotransferase class I and II
protein_cluster_6178,HAMAP,UPF0266 membrane protein yobD
protein_cluster_6179,,hypothetical protein
protein_cluster_618,PFAM,protein of unknown function DUF91
protein_cluster_6180,,hypothetical protein
protein_cluster_6181,PFAM,Manganese/iron superoxide dismutase
protein_cluster_6182,,hypothetical protein
protein_cluster_6183,,hypothetical protein
protein_cluster_6184,,hypothetical protein
protein_cluster_6185,TIGR,mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase
protein_cluster_6186,PFAM,LysR substrate-binding protein
protein_cluster_6187,,hypothetical protein
protein_cluster_6188,HAMAP,Crossover junction endodeoxyribonuclease ruvC
protein_cluster_6189,,hypothetical protein
protein_cluster_619,TIGR,"type VI secretion ATPase, ClpV1 family"
protein_cluster_6190,,hypothetical protein
protein_cluster_6191,TIGR,"type III secretion apparatus protein, YscI/HrpB family"
protein_cluster_6192,PFAM,Pili assembly chaperone
protein_cluster_6193,PFAM,peptidylprolyl isomerase FKBP-type
protein_cluster_6194,,hypothetical protein
protein_cluster_6195,,hypothetical protein
protein_cluster_6196,TIGR,phage minor tail protein G
protein_cluster_6197,,hypothetical protein
protein_cluster_6198,TIGR,plasmid transfer ATPase TraJ
protein_cluster_6199,,hypothetical protein
protein_cluster_62,TIGR,phosphate transport system regulatory protein PhoU
protein_cluster_620,PFAM,NLP/P60 protein
protein_cluster_6200,HAMAP,Fumarate reductase subunit C
protein_cluster_6201,PFAM,"Protein of unknown function, RAQPRD"
protein_cluster_6202,PFAM,protein of unknown function DUF943
protein_cluster_6203,,hypothetical protein
protein_cluster_6204,PFAM,antitermination Q family protein
protein_cluster_6205,,hypothetical protein
protein_cluster_6206,,hypothetical protein
protein_cluster_6207,,hypothetical protein
protein_cluster_6208,PFAM,Mannitol dehydrogenase  domain-containing protein
protein_cluster_6209,,hypothetical protein
protein_cluster_621,,hypothetical protein
protein_cluster_6210,,hypothetical protein
protein_cluster_6211,PFAM,phosphotransferase system PTS sorbose-specific IIC subunit
protein_cluster_6212,,hypothetical protein
protein_cluster_6213,,hypothetical protein
protein_cluster_6214,,hypothetical protein
protein_cluster_6215,PFAM,protein of unknown function DUF339
protein_cluster_6216,TIGR,pyridoxal phosphate-dependent enzyme
protein_cluster_6217,,hypothetical protein
protein_cluster_6218,,hypothetical protein
protein_cluster_6219,,hypothetical protein
protein_cluster_622,PFAM,NAD-dependent epimerase/dehydratase
protein_cluster_6220,PFAM,permease YjgP/YjgQ family protein
protein_cluster_6221,PFAM,RHS protein
protein_cluster_6222,,hypothetical protein
protein_cluster_6223,PFAM,type III secretion FHIPEP protein
protein_cluster_6224,,hypothetical protein
protein_cluster_6225,PFAM,esterase
protein_cluster_6226,PFAM,major facilitator superfamily MFS_1
protein_cluster_6227,TIGR,uridine phosphorylase
protein_cluster_6228,PFAM,UbiC transcription regulator-associated domain-containing protein
protein_cluster_6229,PFAM,"Restriction endonuclease, type I, EcoRI, R subunit/Type III"
protein_cluster_623,,hypothetical protein
protein_cluster_6230,PFAM,protein of unknown function DUF823
protein_cluster_6231,,hypothetical protein
protein_cluster_6232,TIGR,penicillin-binding protein 2
protein_cluster_6233,,hypothetical protein
protein_cluster_6234,PFAM,FAD dependent oxidoreductase
protein_cluster_6235,TIGR,peptide chain release factor H
protein_cluster_6236,,hypothetical protein
protein_cluster_6237,,hypothetical protein
protein_cluster_6238,PFAM,"ABC-type transporter, periplasmic subunit"
protein_cluster_6239,PFAM,flagellar hook-associated 2 domain-containing protein
protein_cluster_624,PFAM,phosphoenolpyruvate-dependent sugar phosphotransferase system EIIA 2
protein_cluster_6240,PFAM,protein of unknown function DUF754
protein_cluster_6241,HAMAP,Alanine racemase
protein_cluster_6242,PFAM,Methylated-DNA-[protein]-cysteine S-methyltransferase DNA binding protein
protein_cluster_6243,TIGR,protein TolA
protein_cluster_6244,PFAM,putative protein family UPF0066
protein_cluster_6245,,hypothetical protein
protein_cluster_6246,HAMAP,Multidrug resistance protein mdtB
protein_cluster_6247,,hypothetical protein
protein_cluster_6248,PFAM,"ABC-type transporter, periplasmic subunit  family 3"
protein_cluster_6249,,hypothetical protein
protein_cluster_625,PFAM,"Helix-turn-helix, AraC domain-containing protein"
protein_cluster_6250,PFAM,protein of unknown function DUF1813 HSP20-like protein
protein_cluster_6251,PFAM,protein of unknown function DUF1441
protein_cluster_6252,PFAM,RNA-directed DNA polymerase (Reverse transcriptase)
protein_cluster_6253,PFAM,Replication endonuclease
protein_cluster_6254,PFAM,dihydrouridine synthase DuS
protein_cluster_6255,,hypothetical protein
protein_cluster_6256,PFAM,Prophage CP4-57 regulatory
protein_cluster_6257,,hypothetical protein
protein_cluster_6258,PFAM,lipopolysaccharide kinase
protein_cluster_6259,TIGR,ribosomal protein L22
protein_cluster_626,PFAM,major intrinsic protein
protein_cluster_6260,,hypothetical protein
protein_cluster_6261,PFAM,Integrase catalytic region
protein_cluster_6262,,hypothetical protein
protein_cluster_6263,,hypothetical protein
protein_cluster_6264,PFAM,LysR substrate-binding protein
protein_cluster_6265,,hypothetical protein
protein_cluster_6266,PFAM,lysis protein
protein_cluster_6267,PFAM,monooxygenase FAD-binding protein
protein_cluster_6268,,hypothetical protein
protein_cluster_6269,PFAM,sulfatase
protein_cluster_627,,hypothetical protein
protein_cluster_6270,PFAM,Exonuclease RNase T and DNA polymerase III
protein_cluster_6271,PFAM,Conjugal transfer TraD family protein
protein_cluster_6272,PFAM,"ABC-type glycine betaine transport, periplasmic subunit"
protein_cluster_6273,HAMAP,ATP synthase subunit alpha
protein_cluster_6274,,hypothetical protein
protein_cluster_6275,HAMAP,Shikimate dehydrogenase
protein_cluster_6276,,hypothetical protein
protein_cluster_6277,TIGR,phage shock protein G
protein_cluster_6278,HAMAP,UPF0270 protein yheU
protein_cluster_6279,,hypothetical protein
protein_cluster_628,,hypothetical protein
protein_cluster_6280,PFAM,phosphotransferase system lactose/cellobiose-specific IIB subunit
protein_cluster_6281,TIGR,"type VI secretion protein, VC_A0114 family"
protein_cluster_6282,PFAM,helix-turn-helix domain protein
protein_cluster_6283,PFAM,regulatory protein DeoR
protein_cluster_6284,TIGR,phage replication protein O
protein_cluster_6285,PFAM,protein of unknown function DUF883 ElaB
protein_cluster_6286,HAMAP,FMN-dependent NADH-azoreductase
protein_cluster_6287,,hypothetical protein
protein_cluster_6288,,hypothetical protein
protein_cluster_6289,PFAM,Protein of unknown function DUF2502
protein_cluster_629,PFAM,Autotransporter beta- domain protein
protein_cluster_6290,,hypothetical protein
protein_cluster_6291,PFAM,Polysulfide reductase NrfD
protein_cluster_6292,PFAM,integrase family protein
protein_cluster_6293,,hypothetical protein
protein_cluster_6294,PFAM,regulatory protein Rha family
protein_cluster_6295,PFAM,PhoQ Sensor domain protein
protein_cluster_6296,PFAM,cyclic nucleotide-binding protein
protein_cluster_6297,TIGR,protein-export membrane protein SecF
protein_cluster_6298,PFAM,Xylose isomerase domain-containing protein TIM barrel
protein_cluster_6299,PFAM,integrase family protein
protein_cluster_63,PFAM,Invasion gene expression up-regulator SirB
protein_cluster_630,PFAM,Nucleotidyl transferase
protein_cluster_6300,,hypothetical protein
protein_cluster_6301,PFAM,Fimbrial protein
protein_cluster_6302,TIGR,50S ribosomal protein L3
protein_cluster_6303,TIGR,"glyceraldehyde-3-phosphate dehydrogenase, type I"
protein_cluster_6304,HAMAP,Galactokinase
protein_cluster_6305,,hypothetical protein
protein_cluster_6306,,hypothetical protein
protein_cluster_6307,TIGR,"Na+/Ca+ antiporter, CaCA family"
protein_cluster_6308,,hypothetical protein
protein_cluster_6309,PFAM,leucine-rich repeat-containing protein
protein_cluster_631,,hypothetical protein
protein_cluster_6310,PFAM,protein of unknown function DUF91
protein_cluster_6311,,hypothetical protein
protein_cluster_6312,PFAM,Malate/L-lactate dehydrogenase
protein_cluster_6313,TIGR,L-serine dehydratase 1
protein_cluster_6314,HAMAP,Phosphoglycerol transferase I
protein_cluster_6315,PFAM,Autotransporter beta- domain protein
protein_cluster_6316,PFAM,AraC protein arabinose-binding/dimerization
protein_cluster_6317,TIGR,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
protein_cluster_6318,PFAM,Alcohol dehydrogenase GroES domain protein
protein_cluster_6319,,hypothetical protein
protein_cluster_632,,hypothetical protein
protein_cluster_6320,,hypothetical protein
protein_cluster_6321,TIGR,"citrate lyase, beta subunit"
protein_cluster_6322,PFAM,type III secretion exporter
protein_cluster_6323,,hypothetical protein
protein_cluster_6324,HAMAP,Apolipoprotein N-acyltransferase
protein_cluster_6325,PFAM,PglZ domain protein
protein_cluster_6326,,hypothetical protein
protein_cluster_6327,PFAM,aminoglycoside 3-N-acetyltransferase
protein_cluster_6328,,hypothetical protein
protein_cluster_6329,PFAM,type III restriction protein res subunit
protein_cluster_633,TIGR,"4-hydroxyphenylacetate 3-monooxygenase, reductase subunit"
protein_cluster_6330,PFAM,Type-F conjugative transfer system pilin assembly protein TrbC
protein_cluster_6331,,hypothetical protein
protein_cluster_6332,PFAM,Abortive infection protein
protein_cluster_6333,PFAM,DSBA oxidoreductase
protein_cluster_6334,HAMAP,"D-tagatose-1,6-bisphosphate aldolase subunit gatY"
protein_cluster_6335,PFAM,Protein of unknown function DUF2593
protein_cluster_6336,PFAM,Integrase catalytic region
protein_cluster_6337,PFAM,MscS Mechanosensitive ion channel
protein_cluster_6338,PFAM,ammonia monooxygenase
protein_cluster_6339,,hypothetical protein
protein_cluster_634,TIGR,incFII family plasmid replication initiator RepA
protein_cluster_6340,,hypothetical protein
protein_cluster_6341,PFAM,PTS system Galactitol-specific IIC component
protein_cluster_6342,PFAM,fimbrial biogenesis outer membrane usher protein
protein_cluster_6343,,hypothetical protein
protein_cluster_6344,PFAM,molybdopterin binding domain-containing protein
protein_cluster_6345,PFAM,Pili assembly chaperone
protein_cluster_6346,,hypothetical protein
protein_cluster_6347,PFAM,Cobalamin synthesis G domain-containing protein
protein_cluster_6348,,hypothetical protein
protein_cluster_6349,HAMAP,ATP phosphoribosyltransferase
protein_cluster_635,,hypothetical protein
protein_cluster_6350,PFAM,BRO domain protein
protein_cluster_6351,PFAM,helix-turn-helix domain protein
protein_cluster_6352,PFAM,Protein of unknown function DUF3053
protein_cluster_6353,,hypothetical protein
protein_cluster_6354,TIGR,phage minor tail protein G
protein_cluster_6355,TIGR,xylulokinase
protein_cluster_6356,,hypothetical protein
protein_cluster_6357,,hypothetical protein
protein_cluster_6358,PFAM,Conserved hypothetical protein CHP02117
protein_cluster_6359,TIGR,"acetyl-CoA carboxylase, biotin carboxylase"
protein_cluster_636,PFAM,"Protein of unknown function DUF3751, tail fiber protein"
protein_cluster_6360,PFAM,"Protein of unknown function DUF3751, tail fiber protein"
protein_cluster_6361,,hypothetical protein
protein_cluster_6362,,hypothetical protein
protein_cluster_6363,,hypothetical protein
protein_cluster_6364,,hypothetical protein
protein_cluster_6365,,hypothetical protein
protein_cluster_6366,,hypothetical protein
protein_cluster_6367,HAMAP,Chromosome partition protein mukF
protein_cluster_6368,,hypothetical protein
protein_cluster_6369,,hypothetical protein
protein_cluster_637,,hypothetical protein
protein_cluster_6370,,hypothetical protein
protein_cluster_6371,,hypothetical protein
protein_cluster_6372,PFAM,DNA polymerase III chi subunit HolC
protein_cluster_6373,HAMAP,Protein syd
protein_cluster_6374,,hypothetical protein
protein_cluster_6375,HAMAP,Dethiobiotin synthetase
protein_cluster_6376,PFAM,major facilitator superfamily MFS_1
protein_cluster_6377,PFAM,peptidyl-prolyl cis-trans isomerase cyclophilin type
protein_cluster_6378,,hypothetical protein
protein_cluster_6379,HAMAP,UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase
protein_cluster_638,PFAM,Diol/glycerol dehydratase reactivating factor large subunit
protein_cluster_6380,,hypothetical protein
protein_cluster_6381,HAMAP,Crotonobetainyl-CoA:carnitine CoA-transferase
protein_cluster_6382,TIGR,alkylphosphonate utilization operon protein PhnA
protein_cluster_6383,HAMAP,UPF0244 protein yjjX
protein_cluster_6384,,hypothetical protein
protein_cluster_6385,,hypothetical protein
protein_cluster_6386,TIGR,diaminopimelate decarboxylase
protein_cluster_6387,TIGR,heme exporter protein CcmB
protein_cluster_6388,PFAM,"ABC-type transporter, integral membrane subunit"
protein_cluster_6389,,hypothetical protein
protein_cluster_639,TIGR,hydroxyisourate hydrolase
protein_cluster_6390,,hypothetical protein
protein_cluster_6391,,hypothetical protein
protein_cluster_6392,PFAM,"Glycosyl transferase, family 3"
protein_cluster_6393,PFAM,CsbD family protein
protein_cluster_6394,PFAM,GPW/gp25 family protein
protein_cluster_6395,,hypothetical protein
protein_cluster_6396,,hypothetical protein
protein_cluster_6397,PFAM,Prophage CP4-57 regulatory
protein_cluster_6398,,hypothetical protein
protein_cluster_6399,,hypothetical protein
protein_cluster_64,PFAM,DinI family protein
protein_cluster_640,PFAM,Transcription regulator CaiF
protein_cluster_6400,,hypothetical protein
protein_cluster_6401,PFAM,glycosyl transferase family 2
protein_cluster_6402,,hypothetical protein
protein_cluster_6403,HAMAP,tRNA 2-thiocytidine biosynthesis protein TtcA
protein_cluster_6404,TIGR,flagellar export protein FliJ
protein_cluster_6405,,hypothetical protein
protein_cluster_6406,,hypothetical protein
protein_cluster_6407,,hypothetical protein
protein_cluster_6408,PFAM,regulatory protein Rha family
protein_cluster_6409,,hypothetical protein
protein_cluster_641,HAMAP,NADPH-dependent 7-cyano-7-deazaguanine reductase
protein_cluster_6410,PFAM,baseplate assembly protein V
protein_cluster_6411,PFAM,Electron transfer flavoprotein alpha subunit
protein_cluster_6412,PFAM,Mammalian cell entry related domain protein
protein_cluster_6413,,hypothetical protein
protein_cluster_6414,,hypothetical protein
protein_cluster_6415,,hypothetical protein
protein_cluster_6416,PFAM,Lambda phage regulatory protein CIII
protein_cluster_6417,PFAM,integrase family protein
protein_cluster_6418,TIGR,oxaloacetate decarboxylase alpha subunit
protein_cluster_6419,PFAM,Prophage tail fiber domain-containing protein
protein_cluster_642,PFAM,Prophage CP4-57 regulatory
protein_cluster_6420,,hypothetical protein
protein_cluster_6421,,hypothetical protein
protein_cluster_6422,,hypothetical protein
protein_cluster_6423,PFAM,Citrate synthase
protein_cluster_6424,PFAM,transposase IS4 family protein
protein_cluster_6425,,hypothetical protein
protein_cluster_6426,TIGR,"preprotein translocase, SecY subunit"
protein_cluster_6427,PFAM,Glu/Leu/Phe/Val dehydrogenase
protein_cluster_6428,PFAM,phosphotransferase system lactose/cellobiose-specific IIB subunit
protein_cluster_6429,,hypothetical protein
protein_cluster_643,PFAM,response regulator receiver
protein_cluster_6430,PFAM,NinH family protein
protein_cluster_6431,PFAM,Peptidase M23
protein_cluster_6432,HAMAP,Alanine racemase
protein_cluster_6433,,hypothetical protein
protein_cluster_6434,,hypothetical protein
protein_cluster_6435,,hypothetical protein
protein_cluster_6436,PFAM,Pirin domain protein
protein_cluster_6437,,hypothetical protein
protein_cluster_6438,PFAM,glycoside hydrolase family 18
protein_cluster_6439,PFAM,regulatory protein MarR
protein_cluster_644,PFAM,"Helix-turn-helix, AraC domain-containing protein"
protein_cluster_6440,HAMAP,50S ribosomal protein L35
protein_cluster_6441,,hypothetical protein
protein_cluster_6442,,hypothetical protein
protein_cluster_6443,,hypothetical protein
protein_cluster_6444,PFAM,TraU family protein
protein_cluster_6445,,hypothetical protein
protein_cluster_6446,PFAM,protein of unknown function UPF0118
protein_cluster_6447,HAMAP,L-rhamnose isomerase
protein_cluster_6448,PFAM,ABC transporter related protein
protein_cluster_6449,PFAM,Colicin V production protein
protein_cluster_645,PFAM,Sporulation domain-containing protein
protein_cluster_6450,PFAM,transposase IS3/IS911 family protein
protein_cluster_6451,PFAM,SMP-30/Gluconolaconase/LRE-like region-containing protein
protein_cluster_6452,PFAM,Ig domain protein group 2 domain protein
protein_cluster_6453,,hypothetical protein
protein_cluster_6454,,hypothetical protein
protein_cluster_6455,PFAM,sugar-specific permease EIIA 1 domain-containing protein
protein_cluster_6456,TIGR,threonine synthase
protein_cluster_6457,PFAM,"ABC-type transporter, integral membrane subunit"
protein_cluster_6458,PFAM,chloramphenicol acetyltransferase
protein_cluster_6459,,hypothetical protein
protein_cluster_646,,hypothetical protein
protein_cluster_6460,PFAM,Insertion element protein
protein_cluster_6461,PFAM,glycoside hydrolase family 31
protein_cluster_6462,PFAM,protein of unknown function DUF1738
protein_cluster_6463,PFAM,Autotransporter beta- domain protein
protein_cluster_6464,PFAM,Conserved hypothetical protein CHP00743
protein_cluster_6465,HAMAP,UPF0181 protein yoaH
protein_cluster_6466,HAMAP,Endoribonuclease symE
protein_cluster_6467,,hypothetical protein
protein_cluster_6468,PFAM,LysR substrate-binding protein
protein_cluster_6469,HAMAP,Phosphoribosyl-ATP pyrophosphatase
protein_cluster_647,,hypothetical protein
protein_cluster_6470,TIGR,"type III secretion outer membrane pore, YscC/HrcC family"
protein_cluster_6471,,hypothetical protein
protein_cluster_6472,PFAM,Terminase
protein_cluster_6473,,hypothetical protein
protein_cluster_6474,PFAM,KduI/IolB isomerase
protein_cluster_6475,,hypothetical protein
protein_cluster_6476,,hypothetical protein
protein_cluster_6477,PFAM,ERF family protein
protein_cluster_6478,,hypothetical protein
protein_cluster_6479,,hypothetical protein
protein_cluster_648,TIGR,"DNA topoisomerase IV, A subunit"
protein_cluster_6480,PFAM,Chorismate binding domain-containing protein
protein_cluster_6481,HAMAP,Bifunctional purine biosynthesis protein purH
protein_cluster_6482,PFAM,head completion protein
